gene_name,gene_id,full_name,synonyms,tf_function_go,tf_process_go,n_function_terms,n_process_terms,evidence_codes,has_dna_binding,is_activator,is_repressor
CCL1,S000006229,Cyclin partner of the cyclin-dependent kinase (CDK) Kin28p,YPR025C|TFIIH complex kinase subunit CCL1,,GO:0006351|GO:0006357|GO:0006366,4,12,HDA|IBA|IDA|IEA|IGI|IMP,False,False,False
CCR4,S000000019,Component of the CCR4-NOT transcriptional complex,YAL021C|FUN27|NUT21|CCR4-NOT core exoribonuclease subunit CCR4,,GO:0006357,12,29,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
CDC13,S000002379,Single stranded DNA-binding protein found at TG1-3 telomere G-tails,YDL220C|EST4|telomere-binding protein CDC13,GO:0003677,,11,18,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
CDC28,S000000364,Cyclin-dependent kinase (CDK) catalytic subunit,YBR160W|CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28,,GO:0000122|GO:0045892|GO:0045893|GO:0045944,32,77,HDA|IBA|IDA|IEA|IGI|IMP,False,True,True
CDC36,S000002324,"Component of the CCR4-NOT core complex, involved in mRNA decapping",YDL165W|DNA19|NOT2|CCR4-NOT core subunit CDC36,,GO:0006355,1,11,IDA|IEA|IMP|IPI|ND,False,False,False
CDC39,S000000689,Subunit of the CCR4-NOT1 core complex,YCR093W|NOT1|ROS1|SMD6|CCR4-NOT core subunit CDC39,,GO:0006357,2,17,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
CDC9,S000002323,DNA ligase I found in nucleus and mitochondria,YDL164C|MMS8|DNA ligase (ATP) CDC9,GO:0003677,,18,29,HDA|IBA|IDA|IEA|IMP,True,False,False
CEF1,S000004826,Essential splicing factor,YMR213W|NTC85,GO:0003677,,3,5,IBA|IC|IDA|IEA|IMP,True,False,False
CEG1,S000003098,Guanylyltransferase involved in mRNA 5' capping,YGL130W|mRNA guanylyltransferase,,GO:0045944,9,9,IBA|IEA|IGI|IMP|IPI,False,True,False
CEP3,S000004778,Essential kinetochore protein,YMR168C|CBF3|CBF3B|CSL1,GO:0000981|GO:0003677,GO:0006355|GO:0006357,8,5,IBA|IDA|IEA|IMP,True,False,False
CGI121,S000004500,Component of the EKC/KEOPS complex,YML036W,,GO:0045944,1,13,IBA|IDA|IEA|IGI|IMP|IPI|ND,False,True,False
CHA4,S000004088,DNA binding transcriptional activator,YLR098C|SIL2|SIL3,GO:0000981|GO:0003677|GO:0003700,GO:0006351|GO:0006355|GO:0006357|GO:0045893,10,6,HDA|IC|IDA|IEA|IMP,True,False,False
CHD1,S000000966,Chromatin remodeler that regulates various aspects of transcription,YER164W|chromatin-remodeling ATPase CHD1,GO:0003677,,15,30,HDA|IDA|IEA|IGI|IMP|IPI,True,False,False
CHL1,S000005929,Probable DNA helicase,YPL008W|MCM12|CTF1|LPA9|DNA helicase,GO:0003677,,19,14,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
CHS5,S000004322,Component of the exomer complex,YLR330W|CAL3,,GO:0006355,2,11,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
CIN5,S000005554,Basic leucine zipper (bZIP) transcription factor of the yAP-1 family,YOR028C|HAL6|YAP4,GO:0003677|GO:0003700,GO:0006355|GO:0006357,6,7,HDA|IDA|IEA|IGI|IMP|ISA,True,False,False
CKS1,S000000339,Cyclin-dependent protein kinase regulatory subunit and adaptor,YBR135W|cyclin-dependent protein kinase regulatory subunit CKS1,,GO:0006357|GO:0045944,9,12,HDA|IBA|IDA|IEA|IMP,False,True,False
CLA4,S000005242,Cdc42p-activated signal transducing kinase,YNL298W|ERC10|serine/threonine protein kinase CLA4,,GO:0000122,16,22,HDA|IBA|IDA|IEA|IGI|IMP,False,False,True
CMR1,S000002315,"Nuclear protein with role in transcription, protein quality control",YDL156W,GO:0003677,,3,4,HDA|IBA|IDA|IEA|IMP,True,False,False
CMR3,S000006217,Putative zinc finger protein,YPR013C,GO:0000981|GO:0003677,GO:0006357,5,2,HDA|IBA|IDA|IEA|ND,True,False,False
COM2,S000000932,Transcription factor that binds IME1 Upstream Activation Signal (UAS),YER130C,GO:0000981|GO:0003677,,4,4,IBA|IEA|IMP|ND,True,False,False
CRF1,S000002631,Transcriptional corepressor,YDR223W,,GO:0006357,3,4,IBA|IDA|IEA|IMP|IPI,False,False,False
CRP1,S000001189,Protein that binds to cruciform DNA structures,YHR146W,GO:0003677,,3,3,IBA|IC|IDA|IEA|ND,True,False,False
CRZ1,S000004972,"Transcription factor, activates transcription of stress response genes",YNL027W|HAL8|TCN1|DNA-binding transcription factor CRZ1,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0045944,8,22,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
CSE2,S000005293,Subunit of the RNA polymerase II mediator complex,YNR010W|MED9,,GO:0000122|GO:0006357|GO:0045944,3,4,IDA|IEA|IMP,False,True,True
CSE4,S000001532,Centromeric histone H3-like protein,YKL049C|CSL2|centromeric DNA-binding histone H3-like protein CSE4,GO:0003677,,7,5,IBA|IDA|IEA|IGI|IMP,True,False,False
CSM3,S000004651,Replication fork associated factor,YMR048W,GO:0003677,,2,28,HDA|IBA|IDA|IEA|IGI|IMP|ND,True,False,False
CSR2,S000006234,Nuclear ubiquitin protein ligase binding protein,YPR030W|ART8|MRG19,,GO:0006357,3,6,HDA|IBA|IDA|IEA|IGI|IMP|IPI|ISA,False,False,False
CST6,S000001298,Basic leucine zipper (bZIP) transcription factor from ATF/CREB family,YIL036W|SHF1|ACA2,GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0045944,6,6,IDA|IEA|IMP,True,True,False
CTF13,S000004700,Subunit of the CBF3 complex,YMR094W|CBF3C,GO:0003677,,2,2,IDA|IEA|IMP,True,False,False
CTF18,S000004683,Subunit of a complex with Ctf8p,YMR078C|CHL12,GO:0003677,,6,9,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
CTF8,S000001234,Subunit of a complex with Ctf18p,YHR191C,GO:0003677,,2,15,IEA|IGI|IMP|IPI|ND,True,False,False
CTI6,S000006102,Component of the Rpd3L histone deacetylase complex,YPL181W|RXT1,,GO:0045893,5,9,HDA|IBA|IC|IDA|IEA|IMP,False,False,False
CTK2,S000003543,Beta subunit of C-terminal domain kinase I (CTDK-I),YJL006C,,GO:0006357,3,11,IBA|IDA|IEA|IMP|IPI,False,False,False
CTR9,S000005505,Component of the Paf1p complex involved in transcription elongation,YOL145C|CDP1,GO:0003677,GO:0006355,7,24,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
CUP2,S000003134,Copper-binding transcription factor,YGL166W|ACE1,GO:0000981|GO:0003677|GO:0003700,GO:0006355|GO:0006357|GO:0045944,17,8,IBA|IDA|IEA|IMP,True,True,False
CUP9,S000006098,Homeodomain-containing transcriptional repressor,YPL177C,GO:0000981|GO:0003677,GO:0000122|GO:0006355|GO:0006357,11,7,HDA|IBA|IC|IDA|IEA|IMP|IPI,True,False,True
CWC24,S000004315,General splicing factor,YLR323C|U2-type spliceosomal complex subunit CWC24,GO:0003677,,5,7,IBA|IDA|IEA|IMP|IPI|ND,True,False,False
CYC8,S000000316,General transcriptional co-repressor,YBR112C|[OCT1+]|[OCT]|CRT8|SSN6|transcription regulator CYC8,,GO:0000122|GO:0006357|GO:0045944,9,19,IBA|IDA|IEA|IGI|IMP|IPI,False,True,True
DAL80,S000001742,Negative regulator of genes in multiple nitrogen degradation pathways,YKR034W|UGA43,GO:0000981|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357,10,11,IBA|IDA|IEA|IMP,True,False,True
DAL81,S000001462,Positive regulator of genes in multiple nitrogen degradation pathways,YIR023W|UGA35|DURL,GO:0000981|GO:0003677,GO:0006351|GO:0006355,10,10,IBA|IC|IDA|IEA|IMP|IPI,True,False,False
DAL82,S000005258,Positive regulator of allophanate inducible genes,YNL314W|DURM,GO:0003700,,4,3,IC|IDA|IMP|IPI,False,False,False
DAT1,S000004581,DNA binding protein that recognizes oligo(dA).oligo(dT) tracts,YML113W,GO:0003677,GO:0000122,2,1,HDA|IDA|IEA|IMP,True,False,True
DBF4,S000002459,Regulatory subunit of Cdc7p-Dbf4p kinase complex,YDR052C|DNA52|LSD7|protein serine/threonine kinase activating protein DBF4,GO:0003677,,8,18,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
DDC1,S000006115,DNA damage checkpoint protein,YPL194W,GO:0003677,,2,18,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
DEF1,S000001537,RNAPII degradation factor,YKL054C|VID31|DNA damage-responsive RNA polymerase-degradation factor DEF1,GO:0003677,,3,9,IDA|IEA|IGI|IMP|ND,True,False,False
DEP1,S000000011,Component of the Rpd3L histone deacetylase complex,YAL013W|FUN54|Rpd3L histone deacetylase complex subunit DEP1,,GO:0000122|GO:0006357|GO:0045944,2,29,HDA|IBA|IDA|IEA|IMP|ND,False,True,True
DIN7,S000002671,Mitochondrial nuclease functioning in DNA repair and replication,YDR263C|DIN3|exodeoxyribonuclease DIN7,GO:0003677,,13,10,IBA|IDA|IEA|IMP,True,False,False
DMC1,S000000981,Meiosis-specific recombinase required for double-strand break repair,YER179W|ISC2|recombinase DMC1,GO:0003677,,21,18,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
DNA2,S000001207,Tripartite DNA replication factor,YHR164C|WEB2|bifunctional ATP-dependent DNA helicase/ssDNA endodeoxyribonuclease DNA2,GO:0003677,,21,21,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
DNL4,S000005531,DNA ligase required for nonhomologous end-joining (NHEJ),YOR005C|LIG4|DNA ligase (ATP) DNL4,GO:0003677,,24,23,IBA|IDA|IEA|IMP|IPI,True,False,False
DOT1,S000002848,Nucleosomal histone H3-Lys79 methylase,YDR440W|KMT4|PCH1|histone methyltransferase DOT1,GO:0003677,,12,32,IBA|IDA|IEA|IGI|IMP,True,False,False
DOT6,S000000890,Protein involved in rRNA and ribosome biogenesis,YER088C|PBF2,GO:0003677,GO:0006357,3,4,HDA|IDA|IEA|IMP,True,False,False
DPB2,S000006379,Second largest subunit of DNA polymerase II (DNA polymerase epsilon),YPR175W|DNA polymerase epsilon noncatalytic subunit,GO:0003677,,8,14,IBA|IC|IDA|IEA|IMP,True,False,False
DST1,S000003011,General transcription elongation factor TFIIS,YGL043W|P37|TFIIS|S-II|SII|PPR2|transcription elongation factor DST1,GO:0003677,GO:0000122|GO:0006351|GO:0006355,11,33,IBA|IDA|IEA|IGI|IMP|IPI,True,False,True
EAF3,S000006227,Component of the Rpd3S histone deacetylase complex,YPR023C,,GO:0006355|GO:0006357|GO:0045892,0,19,IBA|IC|IDA|IEA|IGI|IMP,False,False,False
EAF7,S000005080,Subunit of the NuA4 histone acetyltransferase complex,YNL136W,,GO:0006355|GO:0006357,1,9,HDA|IBA|IDA|IEA|IMP|IPI|ND,False,False,False
ECM22,S000004218,Sterol regulatory element binding protein,YLR228C,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0006357|GO:0045944,11,8,HDA|IBA|IC|IDA|IEA|IGI|IMP,True,True,False
ECM23,S000005942,Non-essential protein of unconfirmed function,YPL021W|SRD2,,GO:0006355,6,4,HDA|IDA|IEA|IMP|ND,False,False,False
ECM32,S000000978,DNA dependent ATPase/DNA helicase,YER176W|MTT1|HEL1|RNA helicase,GO:0003677,,12,3,HDA|IBA|IDA|IEA|IMP,True,False,False
ECM5,S000004788,Subunit of the Snt2C complex,YMR176W,GO:0003677,,6,5,HDA|IBA|IEA|IMP|ND,True,False,False
EDS1,S000000237,"Putative zinc cluster protein, predicted to be a transcription factor",YBR033W,GO:0000981|GO:0003677,GO:0006355|GO:0006357,7,4,HDA|IEA|ND,True,False,False
ELG1,S000005670,Subunit of an alternative replication factor C complex,YOR144C|RTT110,GO:0003677,,2,8,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
ELP2,S000003432,Subunit of Elongator complex,YGR200C|KTI3|TOT2|Elongator subunit ELP2,,GO:0006357,1,6,IBA|IDA|IEA|IMP,False,False,False
ELP3,S000006007,Subunit of Elongator complex,YPL086C|KTI8|TOT3|KAT9|HPA1|Elongator subunit ELP3,,GO:0006357,13,5,IBA|IDA|IEA|IMP,False,False,False
ELP4,S000006022,Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex,YPL101W|KTI9|HAP1|TOT7|Elongator subunit ELP4,,GO:0006357,2,5,HDA|IBA|IDA|IEA|IMP,False,False,False
ELP6,S000004929,Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex,YMR312W|KTI4|HAP3|TOT6|Elongator subunit ELP6,,GO:0006357,3,5,IBA|IDA|IEA|IMP,False,False,False
EMI1,S000002920,Non-essential protein of unknown function,YDR512C,,GO:0045944,1,5,HMP|IEA|IMP|ND,False,True,False
EMI2,S000002924,Non-essential protein of unknown function,YDR516C|putative glucokinase,,GO:0045944,18,17,HDA|HMP|IBA|IEA|ND,False,True,False
ENV11,S000003303,Protein proposed to be involved in vacuolar functions,YGR071C,GO:0003677,GO:0006357,3,3,HDA|IBA|IEA|IMP|ND,True,False,False
EPL1,S000001870,"Subunit of NuA4, an essential histone H4/H2A acetyltransferase complex",YFL024C,,GO:0006357,3,10,IBA|IDA|IEA|IMP,False,False,False
ERT1,S000000443,Transcriptional regulator,YBR239C,GO:0000981|GO:0001227|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0045944,13,9,HDA|IBA|IDA|IEA|IGI|IMP,True,True,True
ESA1,S000005770,Catalytic subunit of the histone acetyltransferase complex (NuA4),YOR244W|TAS1|KAT5|NuA4 histone acetyltransferase complex catalytic subunit ESA1,,GO:0006355|GO:0006357|GO:0045892|GO:0045944,12,23,IBA|IDA|IEA|IGI|IMP,False,True,False
ESS1,S000003778,Peptidylprolyl-cis/trans-isomerase (PPIase),YJR017C|PTF1|PIN1|peptidylprolyl isomerase ESS1,,GO:0000122|GO:0045944,10,24,IBA|IC|IDA|IEA|IGI|IMP|IPI,False,True,True
EST1,S000004223,TLC1 RNA-associated factor involved in telomere length regulation,YLR233C,GO:0003677,,4,7,IDA|IEA|IMP|IPI,True,False,False
EST2,S000004310,Reverse transcriptase subunit of the telomerase holoenzyme,YLR318W|TERT|telomerase reverse transcriptase,GO:0003677,,15,5,IBA|IDA|IEA|IMP,True,False,False
ETR1,S000000230,2-enoyl thioester reductase,YBR026C|MRF1'|MRF1|enoyl-[acyl-carrier-protein] reductase,GO:0003677,,4,6,HDA|IBA|IDA|IEA|IMP,True,False,False
EUC1,S000004717,Sequence-specific DNA binding protein,YMR111C,GO:0000981|GO:0003677,,4,2,HDA|IBA|IDA|IEA|IMP,True,False,False
EXO1,S000005559,5'-3' exonuclease and flap-endonuclease,YOR033C|DHS1|Rad2 family nuclease EXO1,GO:0003677,,18,22,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
EXO5,S000000367,Mitochondrial 5'-3' exonuclease and sliding exonuclease,YBR163W|DEM1,GO:0003677,,11,6,HDA|IBA|IDA|IEA|IMP,True,False,False
FAP1,S000004968,Protein that binds to Fpr1p,YNL023C,GO:0000981|GO:0003700,GO:0000122|GO:0006355,9,3,IBA|IDA|IEA|ISS|ND,False,False,True
FCP1,S000004890,Carboxy-terminal domain (CTD) phosphatase,YMR277W|protein serine/threonine phosphatase,,GO:0006357,11,10,IBA|IDA|IEA|IGI|IMP,False,False,False
FHL1,S000006308,Regulator of ribosomal protein (RP) transcription,YPR104C|SPP42,GO:0003677|GO:0003700,GO:0006355,12,8,HDA|IDA|IEA|IGI|IMP|IPI,True,False,False
FKH1,S000001393,Forkhead family transcription factor,YIL131C|forkhead family transcription factor FKH1,GO:0000981|GO:0001227|GO:0001228|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357,23,36,HDA|IBA|IDA|IEA|IGI|IMP,True,True,True
FKH2,S000005012,Forkhead family transcription factor,YNL068C|forkhead family transcription factor FKH2,GO:0000981|GO:0003677|GO:0003700,GO:0006355|GO:0006357,27,26,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
FLO8,S000000911,Transcription factor,YER109C|PHD5|YER108C|STA10|transcription factor FLO8,GO:0001228,GO:0045944,2,12,HDA|IDA|IEA|IMP,False,True,False
FLP1,S000029654,Site-specific recombinase encoded on the 2-micron plasmid,R0010W,GO:0003677,,7,6,IDA|IEA|IMP|ND,True,False,False
FOB1,S000002517,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,GO:0003677,,4,17,IDA|IEA|IGI|IMP,True,False,False
FPR1,S000005079,Peptidyl-prolyl cis-trans isomerase (PPIase),YNL135C|FKB1|RBP1|peptidylprolyl isomerase FPR1,GO:0001228,GO:0006366,8,6,HDA|IBA|IDA|IEA|IGI|IMP,False,True,False
FUN19,S000002134,Non-essential protein of unknown function,YAL034C,,GO:0006357|GO:0045893,3,5,IBA|IEA|ND,False,False,False
FUN30,S000000017,Snf2p family member with ATP-dependent chromatin remodeling activity,YAL019W|DNA-dependent ATPase FUN30,GO:0003677,GO:0000122,16,19,HDA|IBA|IDA|IEA|IGI|IMP,True,False,True
FYV5,S000000563,De novo-originated gene from non-coding sequence,YCL058C|MDF1,,GO:0000122,1,8,HDA|IEA|IMP|ND,False,False,True
FZF1,S000003223,Transcription factor involved in sulfite metabolism,YGL254W|NRC299|RSU1|SUL1,GO:0001228|GO:0003677,GO:0006357,7,2,HDA|IBA|IC|IDA|IEA|IMP,True,True,False
GAL11,S000005411,Subunit of the RNA polymerase II mediator complex,YOL051W|MED15|RAR3|SDS4|SPT13|ABE1,,GO:0000122|GO:0006355|GO:0006357|GO:0045944,7,11,IDA|IEA|IGI|IMP,False,True,True
GAL4,S000006169,DNA-binding transcription factor required for activating GAL genes,YPL248C|GAL81|galactose-responsive transcription factor GAL4,GO:0000981|GO:0001228|GO:0003677,GO:0006351|GO:0006355,18,9,IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
GAL80,S000004515,Transcriptional regulator involved in the repression of GAL genes,YML051W|transcription regulator GAL80,GO:0003677,GO:0000122,5,7,IDA|IEA|IMP|IPI,True,False,True
GAT1,S000001873,Transcriptional activator of nitrogen catabolite repression genes,YFL021W|NIL1|MEP80,GO:0000981|GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0006357,10,16,IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
GAT2,S000004744,Protein containing GATA family zinc finger motifs,YMR136W,GO:0000981|GO:0003677,GO:0006355|GO:0006357,6,6,IEA|ISA|ND,True,False,False
GAT3,S000004003,Protein containing GATA family zinc finger motifs,YLR013W,GO:0003677,GO:0006355|GO:0006357,7,3,HDA|IDA|IEA|ISS|ND,True,False,False
