yeastract_tf_name,jaspar_matrix_id,jaspar_tf_name,match_type,motif_width,information_content_bits,pfm_A,pfm_C,pfm_G,pfm_T
DAL80,MA0289.1,DAL80,exact,7.0,9.9885,"[11.0, 0.0, 100.0, 0.0, 100.0, 90.0, 3.0]","[67.0, 0.0, 0.0, 0.0, 0.0, 1.0, 19.0]","[6.0, 100.0, 0.0, 0.0, 0.0, 1.0, 75.0]","[17.0, 0.0, 0.0, 100.0, 0.0, 7.0, 3.0]"
DAL81,MA0290.1,DAL81,exact,19.0,35.9115,"[203.0, 203.0, 203.0, 203.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 203.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 203.0, 203.0, 0.0, 203.0, 0.0, 0.0, 0.0, 203.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 203.0, 0.0, 0.0, 203.0, 0.0, 203.0, 203.0, 203.0, 0.0, 203.0, 203.0, 203.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 203.0, 203.0]"
DAL82,MA0291.1,DAL82,exact,9.0,8.4844,"[56.0, 53.0, 39.0, 26.0, 0.0, 0.0, 0.0, 0.0, 11.0]","[14.0, 11.0, 3.0, 11.0, 26.0, 0.0, 100.0, 0.0, 68.0]","[14.0, 5.0, 3.0, 42.0, 0.0, 100.0, 0.0, 100.0, 11.0]","[14.0, 32.0, 55.0, 21.0, 74.0, 0.0, 0.0, 0.0, 11.0]"
ECM22,MA0292.2,ECM22,exact,6.0,8.3229,"[14.0, 0.0, 0.0, 0.0, 0.0, 93.0]","[7.0, 100.0, 100.0, 14.0, 0.0, 0.0]","[7.0, 0.0, 0.0, 86.0, 86.0, 7.0]","[71.0, 0.0, 0.0, 0.0, 14.0, 0.0]"
ERT1,MA0420.2,ERT1,exact,7.0,10.1057,"[6.0, 0.0, 0.0, 0.0, 100.0, 100.0, 4.0]","[47.0, 100.0, 0.0, 0.0, 0.0, 0.0, 63.0]","[6.0, 0.0, 100.0, 100.0, 0.0, 0.0, 4.0]","[41.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.0]"
FKH1,MA0296.2,FKH1,exact,13.0,15.4496,"[520.0, 526.0, 365.0, 119.0, 146.0, 7.0, 959.0, 977.0, 990.0, 1.0, 990.0, 874.0, 671.0]","[84.0, 76.0, 73.0, 146.0, 4.0, 3.0, 37.0, 11.0, 1.0, 925.0, 1.0, 39.0, 49.0]","[98.0, 129.0, 150.0, 133.0, 847.0, 0.0, 0.0, 1.0, 2.0, 1.0, 3.0, 16.0, 70.0]","[297.0, 267.0, 411.0, 600.0, 1.0, 987.0, 1.0, 9.0, 5.0, 71.0, 4.0, 69.0, 208.0]"
FKH2,MA0297.1,FKH2,exact,7.0,12.132,"[13.0, 0.0, 100.0, 100.0, 100.0, 0.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[88.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
FLO8,,,no_match,,,,,,
FZF1,MA2701.1,FZF1,exact,7.0,9.9875,"[2.0, 0.0, 174.0, 3.0, 4.0, 162.0, 96.0]","[178.0, 2.0, 7.0, 1.0, 176.0, 4.0, 28.0]","[2.0, 4.0, 1.0, 1.0, 1.0, 5.0, 16.0]","[0.0, 176.0, 0.0, 177.0, 1.0, 11.0, 42.0]"
GAL4,MA0299.1,GAL4,exact,15.0,11.4719,"[0.0, 0.0, 0.0, 778.0, 292.0, 1019.0, 2339.0, 567.0, 1913.0, 659.0, 96.0, 1170.0, 0.0, 235.0, 0.0]","[2779.0, 0.0, 438.0, 655.0, 1137.0, 810.0, 0.0, 1296.0, 335.0, 592.0, 767.0, 517.0, 1437.0, 392.0, 2779.0]","[0.0, 2779.0, 2273.0, 927.0, 1151.0, 1002.0, 538.0, 810.0, 0.0, 1744.0, 494.0, 1105.0, 729.0, 419.0, 0.0]","[0.0, 0.0, 97.0, 717.0, 498.0, 390.0, 98.0, 194.0, 737.0, 204.0, 1786.0, 404.0, 824.0, 2001.0, 0.0]"
GAT1,MA0300.2,GAT1,exact,6.0,10.118,"[0.0, 100.0, 0.0, 100.0, 100.0, 3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 9.0]","[100.0, 0.0, 0.0, 0.0, 0.0, 84.0]","[0.0, 0.0, 100.0, 0.0, 0.0, 3.0]"
GCN4,MA0303.3,GCN4,exact,8.0,10.2854,"[0.0, 1.0, 87.0, 0.0, 1.0, 7.0, 82.0, 6.0]","[0.0, 0.0, 0.0, 62.0, 0.0, 78.0, 3.0, 20.0]","[0.0, 84.0, 2.0, 28.0, 2.0, 5.0, 2.0, 13.0]","[90.0, 5.0, 1.0, 0.0, 87.0, 0.0, 3.0, 51.0]"
GCR1,MA0304.1,GCR1,exact,8.0,11.4704,"[719.0, 0.0, 0.0, 2460.0, 2157.0, 9.0, 553.0, 0.0]","[31.0, 142.0, 22.0, 0.0, 10.0, 13.0, 1703.0, 1932.0]","[77.0, 2318.0, 2438.0, 0.0, 0.0, 2326.0, 0.0, 15.0]","[1822.0, 0.0, 0.0, 0.0, 294.0, 121.0, 240.0, 651.0]"
GCR2,MA0305.2,GCR2,exact,6.0,9.4216,"[33.0, 0.0, 11.0, 0.0, 0.0, 0.0]","[33.0, 279.0, 0.0, 0.0, 260.0, 269.0]","[149.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[16.0, 0.0, 152.0, 169.0, 8.0, 0.0]"
GIS1,MA0306.2,GIS1,exact,6.0,8.7053,"[0.0, 0.0, 0.0, 0.0, 0.0, 49.0]","[97.0, 100.0, 100.0, 87.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 15.0]","[3.0, 0.0, 0.0, 13.0, 100.0, 32.0]"
GLN3,MA0307.1,GLN3,exact,5.0,7.0804,"[0.0, 100.0, 0.0, 74.0, 61.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 0.0, 0.0, 0.0, 27.0]","[0.0, 0.0, 100.0, 26.0, 12.0]"
GSM1,MA0308.2,GSM1,exact,10.0,12.2238,"[566.0, 849.0, 400.0, 3.0, 4.0, 3.0, 0.0, 0.0, 136.0, 708.0]","[22.0, 9.0, 164.0, 916.0, 177.0, 985.0, 972.0, 30.0, 4.0, 60.0]","[17.0, 20.0, 182.0, 10.0, 38.0, 1.0, 25.0, 967.0, 849.0, 197.0]","[393.0, 120.0, 252.0, 69.0, 778.0, 9.0, 0.0, 1.0, 9.0, 32.0]"
GZF3,MA0309.2,GZF3,exact,7.0,9.1489,"[18.0, 0.0, 100.0, 0.0, 100.0, 73.0, 4.0]","[39.0, 0.0, 0.0, 0.0, 0.0, 9.0, 38.0]","[2.0, 100.0, 0.0, 0.0, 0.0, 0.0, 59.0]","[41.0, 0.0, 0.0, 100.0, 0.0, 18.0, 0.0]"
HAA1,MA0312.3,HAP1,fuzzy,8.0,10.6191,"[1.0, 0.0, 0.0, 56.0, 0.0, 56.0, 27.0, 31.0]","[55.0, 56.0, 0.0, 0.0, 0.0, 0.0, 7.0, 9.0]","[0.0, 0.0, 56.0, 0.0, 0.0, 0.0, 4.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 56.0, 0.0, 18.0, 10.0]"
HAC1,MA0310.2,HAC1,exact,7.0,10.355,"[24.0, 68.0, 0.0, 100.0, 0.0, 0.0, 0.0]","[6.0, 32.0, 100.0, 0.0, 100.0, 0.0, 0.0]","[56.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
HAP1,MA0312.3,HAP1,exact,8.0,10.6191,"[1.0, 0.0, 0.0, 56.0, 0.0, 56.0, 27.0, 31.0]","[55.0, 56.0, 0.0, 0.0, 0.0, 0.0, 7.0, 9.0]","[0.0, 0.0, 56.0, 0.0, 0.0, 0.0, 4.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 56.0, 0.0, 18.0, 10.0]"
HAP2,MA0313.1,HAP2,exact,5.0,8.191,"[0.0, 0.0, 22.0, 0.0, 675.0]","[0.0, 0.0, 0.0, 0.0, 1619.0]","[0.0, 40.0, 3922.0, 3932.0, 131.0]","[3939.0, 3897.0, 0.0, 7.0, 1847.0]"
HAP3,MA0314.3,HAP3,exact,9.0,11.5493,"[4.0, 2.0, 111.0, 0.0, 0.0, 0.0, 0.0, 6.0, 5.0]","[17.0, 20.0, 1.0, 0.0, 2.0, 1.0, 0.0, 67.0, 42.0]","[0.0, 84.0, 0.0, 0.0, 0.0, 114.0, 115.0, 4.0, 18.0]","[94.0, 9.0, 3.0, 115.0, 113.0, 0.0, 0.0, 38.0, 50.0]"
HAP4,MA0316.2,HAP5,fuzzy,14.0,13.2476,"[200.0, 113.0, 826.0, 1817.0, 127.0, 98.0, 0.0, 537.0, 4156.0, 0.0, 0.0, 387.0, 361.0, 0.0]","[1914.0, 1513.0, 1137.0, 1451.0, 637.0, 3199.0, 700.0, 1308.0, 0.0, 0.0, 0.0, 0.0, 497.0, 1730.0]","[2108.0, 2485.0, 2155.0, 440.0, 1273.0, 677.0, 0.0, 1904.0, 0.0, 0.0, 234.0, 3788.0, 3123.0, 0.0]","[97.0, 433.0, 453.0, 1002.0, 2389.0, 624.0, 3713.0, 793.0, 0.0, 4156.0, 3922.0, 0.0, 262.0, 2808.0]"
HAP5,MA0316.2,HAP5,exact,14.0,13.2476,"[200.0, 113.0, 826.0, 1817.0, 127.0, 98.0, 0.0, 537.0, 4156.0, 0.0, 0.0, 387.0, 361.0, 0.0]","[1914.0, 1513.0, 1137.0, 1451.0, 637.0, 3199.0, 700.0, 1308.0, 0.0, 0.0, 0.0, 0.0, 497.0, 1730.0]","[2108.0, 2485.0, 2155.0, 440.0, 1273.0, 677.0, 0.0, 1904.0, 0.0, 0.0, 234.0, 3788.0, 3123.0, 0.0]","[97.0, 433.0, 453.0, 1002.0, 2389.0, 624.0, 3713.0, 793.0, 0.0, 4156.0, 3922.0, 0.0, 262.0, 2808.0]"
HCM1,MA0317.2,HCM1,exact,7.0,7.8159,"[27.0, 67.0, 95.0, 100.0, 1.0, 95.0, 57.0]","[8.0, 32.0, 5.0, 0.0, 86.0, 2.0, 17.0]","[4.0, 1.0, 0.0, 0.0, 0.0, 2.0, 11.0]","[61.0, 1.0, 0.0, 0.0, 13.0, 2.0, 14.0]"
HOT1,,,no_match,,,,,,
HSF1,MA0319.2,HSF1,exact,7.0,8.9844,"[69.0, 2.0, 19.0, 0.0, 100.0, 100.0, 6.0]","[13.0, 2.0, 0.0, 0.0, 0.0, 0.0, 56.0]","[13.0, 2.0, 81.0, 100.0, 0.0, 0.0, 19.0]","[6.0, 95.0, 0.0, 0.0, 0.0, 0.0, 19.0]"
IME1,MA0320.1,IME1,exact,8.0,13.2307,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 161.0, 16.0]","[301.0, 232.0, 0.0, 301.0, 189.0, 0.0, 0.0, 0.0]","[0.0, 61.0, 301.0, 0.0, 75.0, 301.0, 0.0, 266.0]","[0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0]"
INO2,MA0321.1,INO2,exact,9.0,12.2258,"[18.0, 0.0, 155.0, 0.0, 7.0, 8.0, 0.0, 141.0, 134.0]","[29.0, 275.0, 7.0, 25.0, 0.0, 0.0, 34.0, 16.0, 2.0]","[198.0, 0.0, 0.0, 0.0, 258.0, 11.0, 241.0, 23.0, 5.0]","[4.0, 0.0, 4.0, 150.0, 0.0, 147.0, 0.0, 0.0, 24.0]"
INO4,MA0322.1,INO4,exact,9.0,12.5437,"[29.0, 0.0, 138.0, 0.0, 10.0, 0.0, 17.0, 146.0, 142.0]","[46.0, 236.0, 14.0, 0.0, 0.0, 0.0, 0.0, 7.0, 7.0]","[162.0, 0.0, 0.0, 0.0, 256.0, 0.0, 241.0, 23.0, 26.0]","[5.0, 19.0, 17.0, 168.0, 0.0, 167.0, 0.0, 0.0, 0.0]"
IXR1,MA0323.1,IXR1,exact,15.0,19.5915,"[161.0, 121.0, 68.0, 28.0, 59.0, 59.0, 28.0, 121.0, 121.0, 0.0, 0.0, 28.0, 6.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 228.0, 187.0, 0.0, 0.0, 0.0, 0.0, 0.0, 301.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 112.0, 0.0, 0.0, 187.0, 169.0, 71.0, 0.0, 301.0, 0.0, 244.0, 285.0, 112.0, 244.0]","[0.0, 37.0, 28.0, 6.0, 0.0, 0.0, 37.0, 0.0, 37.0, 0.0, 0.0, 0.0, 0.0, 99.0, 28.0]"
KAR4,,,no_match,,,,,,
LEU3,MA0324.1,LEU3,exact,10.0,11.0056,"[0.0, 0.0, 0.0, 20.0, 26.0, 47.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 0.0, 0.0, 34.0, 12.0, 61.0, 100.0, 0.0, 32.0]","[0.0, 0.0, 56.0, 35.0, 0.0, 16.0, 39.0, 0.0, 100.0, 68.0]","[0.0, 0.0, 43.0, 45.0, 41.0, 25.0, 0.0, 0.0, 0.0, 0.0]"
LYS14,MA0325.2,LYS14,exact,7.0,10.28,"[4.0, 0.0, 0.0, 100.0, 100.0, 6.0, 13.0]","[82.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0]","[10.0, 100.0, 100.0, 0.0, 0.0, 0.0, 7.0]","[4.0, 0.0, 0.0, 0.0, 0.0, 94.0, 68.0]"
MAC1,MA0326.1,MAC1,exact,8.0,13.1194,"[108.0, 89.0, 0.0, 115.0, 0.0, 0.0, 0.0, 958.0]","[0.0, 0.0, 0.0, 0.0, 1714.0, 0.0, 1714.0, 0.0]","[0.0, 219.0, 0.0, 1599.0, 0.0, 0.0, 0.0, 655.0]","[1632.0, 1451.0, 1714.0, 0.0, 0.0, 1714.0, 0.0, 113.0]"
MBP1,MA0329.2,MBP1,exact,5.0,6.375,"[55.0, 0.0, 15.0, 0.0, 0.0]","[10.0, 100.0, 0.0, 88.0, 2.0]","[18.0, 0.0, 85.0, 0.0, 98.0]","[17.0, 0.0, 0.0, 12.0, 0.0]"
MCM1,MA0331.1,MCM1,exact,12.0,11.7965,"[1692.0, 97.0, 3002.0, 6037.0, 7789.0, 936.0, 1175.0, 6619.0, 612.0, 117.0, 10592.0, 12477.0]","[11356.0, 12733.0, 5897.0, 2220.0, 195.0, 237.0, 3860.0, 1176.0, 32.0, 134.0, 966.0, 399.0]","[405.0, 0.0, 3023.0, 3432.0, 642.0, 0.0, 542.0, 5947.0, 13102.0, 13351.0, 319.0, 350.0]","[368.0, 971.0, 4309.0, 3681.0, 5363.0, 12586.0, 9116.0, 1957.0, 0.0, 16.0, 2201.0, 475.0]"
MET31,MA0333.2,MET31,exact,6.0,9.7784,"[0.0, 0.0, 0.0, 0.0, 0.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[100.0, 0.0, 100.0, 100.0, 0.0, 69.0]","[0.0, 100.0, 0.0, 0.0, 0.0, 20.0]"
MET32,MA0334.2,MET32,exact,6.0,8.115,"[11.0, 0.0, 0.0, 93.0, 0.0, 64.0]","[5.0, 99.0, 100.0, 3.0, 99.0, 15.0]","[77.0, 0.0, 0.0, 0.0, 0.0, 12.0]","[7.0, 0.0, 0.0, 3.0, 1.0, 9.0]"
MET4,,,no_match,,,,,,
MIG1,MA0337.2,MIG1,exact,6.0,8.2295,"[1.0, 0.0, 0.0, 0.0, 46.0, 5.0]","[97.0, 100.0, 100.0, 100.0, 3.0, 57.0]","[1.0, 0.0, 0.0, 0.0, 50.0, 30.0]","[1.0, 0.0, 0.0, 0.0, 1.0, 7.0]"
MIG2,MA0338.2,MIG2,exact,6.0,8.3051,"[1.0, 0.0, 0.0, 0.0, 36.0, 5.0]","[96.0, 100.0, 100.0, 100.0, 11.0, 77.0]","[2.0, 0.0, 0.0, 0.0, 52.0, 13.0]","[1.0, 0.0, 0.0, 0.0, 1.0, 6.0]"
MIG3,MA0339.2,MIG3,exact,6.0,8.1277,"[1.0, 0.0, 0.0, 0.0, 41.0, 5.0]","[98.0, 94.0, 100.0, 100.0, 2.0, 69.0]","[1.0, 0.0, 0.0, 0.0, 55.0, 17.0]","[1.0, 6.0, 0.0, 0.0, 1.0, 9.0]"
MOT2,MA0379.1,MOT2,exact,5.0,8.6546,"[93.0, 0.0, 99.0, 0.0, 99.0]","[2.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 99.0, 0.0, 99.0, 0.0]"
MOT3,MA0340.1,MOT3,exact,6.0,8.8788,"[67.0, 203.0, 0.0, 0.0, 0.0, 203.0]","[67.0, 0.0, 0.0, 0.0, 101.0, 0.0]","[0.0, 0.0, 203.0, 203.0, 0.0, 0.0]","[67.0, 0.0, 0.0, 0.0, 101.0, 0.0]"
MSN2,MA0341.1,MSN2,exact,5.0,7.9051,"[60.0, 0.0, 0.0, 0.0, 0.0]","[7.0, 0.0, 0.0, 0.0, 0.0]","[32.0, 100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
MSN4,MA0342.1,MSN4,exact,5.0,8.3767,"[83.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[16.0, 99.0, 99.0, 99.0, 99.0]","[0.0, 0.0, 0.0, 0.0, 1.0]"
MSS11,,,no_match,,,,,,
NDT80,MA0343.2,NDT80,exact,9.0,12.3197,"[188.0, 444.0, 12.0, 940.0, 18.0, 965.0, 970.0, 945.0, 713.0]","[20.0, 483.0, 948.0, 7.0, 967.0, 4.0, 5.0, 3.0, 24.0]","[675.0, 41.0, 4.0, 45.0, 6.0, 9.0, 15.0, 14.0, 236.0]","[116.0, 30.0, 34.0, 6.0, 6.0, 20.0, 8.0, 37.0, 24.0]"
NRG1,MA0347.3,NRG1,exact,8.0,10.0484,"[27.0, 45.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0]","[17.0, 2.0, 0.0, 0.0, 0.0, 4.0, 43.0, 43.0]","[1.0, 1.0, 48.0, 48.0, 48.0, 1.0, 1.0, 2.0]","[3.0, 0.0, 0.0, 0.0, 0.0, 36.0, 4.0, 3.0]"
NRG2,MA0347.3,NRG1,fuzzy,8.0,10.0484,"[27.0, 45.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0]","[17.0, 2.0, 0.0, 0.0, 0.0, 4.0, 43.0, 43.0]","[1.0, 1.0, 48.0, 48.0, 48.0, 1.0, 1.0, 2.0]","[3.0, 0.0, 0.0, 0.0, 0.0, 36.0, 4.0, 3.0]"
OAF1,MA0348.2,OAF1,exact,8.0,9.1636,"[0.0, 0.0, 0.0, 56.0, 7.0, 68.0, 14.0, 56.0]","[100.0, 0.0, 0.0, 0.0, 0.0, 4.0, 7.0, 14.0]","[0.0, 100.0, 100.0, 43.0, 86.0, 4.0, 7.0, 14.0]","[0.0, 0.0, 0.0, 0.0, 7.0, 25.0, 71.0, 14.0]"
