gene1,gene2,gene1_name,gene2_name,pct_identity,alignment_score,alignment_len,family_30pct,family_50pct,family_80pct,pi2_estimate
YAL051W,YDR213W,OAF1,UPC2,1.21,0.0121,913,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0121
YAL051W,YDR216W,OAF1,ADR1,1.03,0.0103,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0103
YAL051W,YDR253C,OAF1,MET32,0.25,0.0025,191,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0025
YAL051W,YDR310C,OAF1,SUM1,1.02,0.0102,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0102
YAL051W,YDR423C,OAF1,CAD1,0.21,0.0021,409,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0021
YAL051W,YDR463W,OAF1,STP1,0.39,0.0039,519,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0039
YAL051W,YEL009C,OAF1,GCN4,0.08,0.0008,281,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0008
YAL051W,YER028C,OAF1,MIG3,0.92,0.0092,394,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0092
YAL051W,YER040W,OAF1,GLN3,0.87,0.0087,730,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0087
YAL051W,YER045C,OAF1,ACA1,0.46,0.0046,489,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0046
YAL051W,YER068W,OAF1,MOT2,0.56,0.0056,587,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0056
YAL051W,YER111C,OAF1,SWI4,1.26,0.0126,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0126
YAL051W,YER130C,OAF1,COM2,0.34,0.0034,443,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0034
YAL051W,YER169W,OAF1,RPH1,0.88,0.0088,796,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0088
YAL051W,YFL021W,OAF1,GAT1,1.19,0.0119,510,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0119
YAL051W,YFL031W,OAF1,HAC1,0.39,0.0039,238,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0039
YAL051W,YFL052W,OAF1,ZNF1,0.6,0.006,465,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.006
YAL051W,YFR034C,OAF1,PHO4,0.22,0.0022,312,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0022
YAL051W,YGL013C,OAF1,PDR1,0.72,0.0072,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0072
YAL051W,YGL035C,OAF1,MIG1,0.79,0.0079,504,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0079
YAL051W,YGL071W,OAF1,AFT1,1.0,0.01,690,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.01
YAL051W,YGL073W,OAF1,HSF1,1.26,0.0126,833,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0126
YAL051W,YGL162W,OAF1,SUT1,0.38,0.0038,299,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0038
YAL051W,YGL166W,OAF1,CUP2,0.24,0.0024,225,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0024
YAL051W,YGL209W,OAF1,MIG2,0.64,0.0064,382,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0064
YAL051W,YGL237C,OAF1,HAP2,0.08,0.0008,265,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0008
YAL051W,YGL254W,OAF1,FZF1,0.15,0.0015,299,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0015
YAL051W,YGR044C,OAF1,RME1,0.3,0.003,300,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.003
YAL051W,YHL009C,OAF1,YAP3,0.15,0.0015,330,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0015
YAL051W,YHL027W,OAF1,RIM101,0.55,0.0055,625,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0055
YAL051W,YHR006W,OAF1,STP2,0.45,0.0045,541,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0045
YAL051W,YHR084W,OAF1,STE12,0.47,0.0047,688,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0047
YAL051W,YHR124W,OAF1,NDT80,0.3,0.003,627,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.003
YAL051W,YHR177W,OAF1,ROF1,0.2,0.002,453,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.002
YAL051W,YHR178W,OAF1,STB5,0.68,0.0068,743,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0068
YAL051W,YHR206W,OAF1,SKN7,0.98,0.0098,622,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0098
YAL051W,YIL036W,OAF1,CST6,0.68,0.0068,587,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0068
YAL051W,YIL101C,OAF1,XBP1,0.6,0.006,647,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.006
YAL051W,YIL131C,OAF1,FKH1,0.4,0.004,484,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.004
YAL051W,YIR018W,OAF1,YAP5,0.24,0.0024,245,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0024
YAL051W,YIR023W,OAF1,DAL81,0.51,0.0051,970,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0051
YAL051W,YJL056C,OAF1,ZAP1,0.69,0.0069,880,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0069
YAL051W,YJL089W,OAF1,SIP4,0.93,0.0093,829,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0093
YAL051W,YJL103C,OAF1,GSM1,0.79,0.0079,618,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0079
YAL051W,YJL110C,OAF1,GZF3,0.57,0.0057,551,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0057
YAL051W,YJR060W,OAF1,CBF1,0.44,0.0044,351,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0044
YAL051W,YJR094C,OAF1,IME1,0.29,0.0029,360,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0029
YAL051W,YKL015W,OAF1,PUT3,1.06,0.0106,979,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0106
YAL051W,YKL032C,OAF1,IXR1,0.52,0.0052,597,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0052
YAL051W,YKL038W,OAF1,RGT1,1.06,0.0106,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0106
YAL051W,YKL062W,OAF1,MSN4,0.67,0.0067,630,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0067
YAL051W,YKL109W,OAF1,HAP4,0.64,0.0064,554,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0064
YAL051W,YKL112W,OAF1,ABF1,0.63,0.0063,731,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0063
YAL051W,YKL185W,OAF1,ASH1,0.69,0.0069,588,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0069
YAL051W,YKR034W,OAF1,DAL80,0.31,0.0031,269,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0031
YAL051W,YKR099W,OAF1,BAS1,0.55,0.0055,811,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0055
YAL051W,YLR014C,OAF1,PPR1,0.57,0.0057,904,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0057
YAL051W,YLR098C,OAF1,CHA4,0.6,0.006,648,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.006
YAL051W,YLR131C,OAF1,ACE2,0.84,0.0084,770,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0084
YAL051W,YLR176C,OAF1,RFX1,0.93,0.0093,811,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0093
YAL051W,YLR228C,OAF1,ECM22,0.38,0.0038,814,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0038
YAL051W,YLR256W,OAF1,HAP1,1.34,0.0134,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0134
YAL051W,YLR266C,OAF1,PDR8,0.93,0.0093,701,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0093
YAL051W,YLR451W,OAF1,LEU3,0.31,0.0031,886,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0031
YAL051W,YML007W,OAF1,YAP1,0.91,0.0091,650,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0091
YAL051W,YML076C,OAF1,WAR1,0.61,0.0061,944,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0061
YAL051W,YML081W,OAF1,TDA9,1.34,0.0134,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0134
YAL051W,YML099C,OAF1,ARG81,0.63,0.0063,880,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0063
YAL051W,YMR019W,OAF1,STB4,0.46,0.0046,949,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0046
YAL051W,YMR021C,OAF1,MAC1,0.14,0.0014,417,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0014
YAL051W,YMR037C,OAF1,MSN2,0.88,0.0088,704,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0088
YAL051W,YMR042W,OAF1,ARG80,0.41,0.0041,177,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0041
YAL051W,YMR043W,OAF1,MCM1,0.24,0.0024,286,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0024
YAL051W,YMR070W,OAF1,MOT3,0.76,0.0076,490,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0076
YAL051W,YMR164C,OAF1,MSS11,0.52,0.0052,758,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0052
YAL051W,YMR172W,OAF1,HOT1,0.64,0.0064,719,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0064
YAL051W,YMR280C,OAF1,CAT8,0.87,0.0087,1047,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0087
YAL051W,YNL027W,OAF1,CRZ1,0.9,0.009,678,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.009
YAL051W,YNL068C,OAF1,FKH2,0.8,0.008,862,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.008
YAL051W,YNL103W,OAF1,MET4,0.96,0.0096,672,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0096
YAL051W,YNL167C,OAF1,SKO1,0.85,0.0085,647,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0085
YAL051W,YNL199C,OAF1,GCR2,0.71,0.0071,534,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0071
YAL051W,YNL216W,OAF1,RAP1,0.44,0.0044,827,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0044
YAL051W,YNL314W,OAF1,DAL82,0.47,0.0047,255,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0047
YAL051W,YOL067C,OAF1,RTG1,0.08,0.0008,177,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0008
YAL051W,YOL108C,OAF1,INO4,0.17,0.0017,151,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0017
YAL051W,YOR028C,OAF1,CIN5,0.3,0.003,295,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.003
YAL051W,YOR113W,OAF1,AZF1,0.52,0.0052,914,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0052
YAL051W,YOR140W,OAF1,SFL1,0.84,0.0084,766,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0084
YAL051W,YOR162C,OAF1,YRR1,0.77,0.0077,810,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0077
YAL051W,YOR337W,OAF1,TEA1,1.13,0.0113,759,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0113
YAL051W,YOR344C,OAF1,TYE7,0.38,0.0038,291,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0038
YAL051W,YOR358W,OAF1,HAP5,0.31,0.0031,242,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0031
YAL051W,YOR363C,OAF1,PIP2,3.79,0.0379,996,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0379
YAL051W,YPL038W,OAF1,MET31,0.41,0.0041,177,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0041
YAL051W,YPL075W,OAF1,GCR1,0.56,0.0056,785,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0056
YAL051W,YPL089C,OAF1,RLM1,0.54,0.0054,676,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0054
YAL051W,YPL133C,OAF1,RDS2,0.48,0.0048,446,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0048
YAL051W,YPL202C,OAF1,AFT2,0.49,0.0049,416,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0049
YAL051W,YPL230W,OAF1,USV1,0.36,0.0036,391,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0036
YAL051W,YPL248C,OAF1,GAL4,0.9,0.009,881,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.009
YAL051W,YPR008W,OAF1,HAA1,0.82,0.0082,694,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0082
YAL051W,YPR065W,OAF1,ROX1,0.43,0.0043,368,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0043
YAL051W,YPR199C,OAF1,ARR1,0.45,0.0045,294,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0045
YBL005W,YBL021C,PDR3,HAP3,0.09,0.0009,144,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0009
YBL005W,YBL103C,PDR3,RTG3,1.27,0.0127,486,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0127
YBL005W,YBR049C,PDR3,REB1,0.7,0.007,810,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.007
YBL005W,YBR066C,PDR3,NRG2,0.43,0.0043,220,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0043
YBL005W,YBR083W,PDR3,TEC1,0.28,0.0028,486,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0028
YBL005W,YBR182C,PDR3,SMP1,0.5,0.005,452,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.005
YBL005W,YBR239C,PDR3,ERT1,0.61,0.0061,529,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0061
YBL005W,YCL055W,PDR3,KAR4,0.54,0.0054,335,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0054
YBL005W,YCR065W,PDR3,HCM1,0.8,0.008,564,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.008
YBL005W,YCR106W,PDR3,RDS1,0.62,0.0062,832,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0062
YBL005W,YDL020C,PDR3,RPN4,0.47,0.0047,531,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0047
YBL005W,YDL056W,PDR3,MBP1,0.85,0.0085,833,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0085
YBL005W,YDL106C,PDR3,PHO2,0.33,0.0033,559,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0033
YBL005W,YDL170W,PDR3,UGA3,0.34,0.0034,528,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0034
YBL005W,YDR034C,PDR3,LYS14,0.81,0.0081,790,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0081
YBL005W,YDR043C,PDR3,NRG1,0.17,0.0017,231,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0017
YBL005W,YDR096W,PDR3,GIS1,0.66,0.0066,894,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0066
YBL005W,YDR123C,PDR3,INO2,0.48,0.0048,304,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0048
YBL005W,YDR146C,PDR3,SWI5,0.73,0.0073,709,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0073
YBL005W,YDR207C,PDR3,UME6,0.4,0.004,836,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.004
YBL005W,YDR213W,PDR3,UPC2,0.71,0.0071,913,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0071
YBL005W,YDR216W,PDR3,ADR1,1.02,0.0102,976,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0102
YBL005W,YDR253C,PDR3,MET32,0.44,0.0044,191,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0044
YBL005W,YDR310C,PDR3,SUM1,0.96,0.0096,976,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0096
YBL005W,YDR423C,PDR3,CAD1,0.0,0.0,409,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0
YBL005W,YDR463W,PDR3,STP1,0.41,0.0041,519,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0041
YBL005W,YEL009C,PDR3,GCN4,0.32,0.0032,281,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0032
YBL005W,YER028C,PDR3,MIG3,0.6,0.006,394,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.006
YBL005W,YER040W,PDR3,GLN3,0.55,0.0055,730,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0055
YBL005W,YER045C,PDR3,ACA1,0.77,0.0077,489,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0077
YBL005W,YER068W,PDR3,MOT2,0.2,0.002,587,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.002
YBL005W,YER111C,PDR3,SWI4,0.95,0.0095,976,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0095
YBL005W,YER130C,PDR3,COM2,0.58,0.0058,443,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0058
YBL005W,YER169W,PDR3,RPH1,0.63,0.0063,796,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0063
YBL005W,YFL021W,PDR3,GAT1,0.48,0.0048,510,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0048
YBL005W,YFL031W,PDR3,HAC1,0.34,0.0034,238,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0034
YBL005W,YFL052W,PDR3,ZNF1,0.78,0.0078,465,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0078
YBL005W,YFR034C,PDR3,PHO4,0.08,0.0008,312,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0008
YBL005W,YGL013C,PDR3,PDR1,2.96,0.0296,976,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0296
YBL005W,YGL035C,PDR3,MIG1,0.84,0.0084,504,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0084
YBL005W,YGL071W,PDR3,AFT1,0.61,0.0061,690,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0061
YBL005W,YGL073W,PDR3,HSF1,0.79,0.0079,833,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0079
YBL005W,YGL162W,PDR3,SUT1,0.56,0.0056,299,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0056
YBL005W,YGL166W,PDR3,CUP2,0.0,0.0,225,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0
YBL005W,YGL209W,PDR3,MIG2,0.68,0.0068,382,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0068
YBL005W,YGL237C,PDR3,HAP2,0.08,0.0008,265,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0008
YBL005W,YGL254W,PDR3,FZF1,0.32,0.0032,299,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0032
YBL005W,YGR044C,PDR3,RME1,0.24,0.0024,300,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0024
YBL005W,YHL009C,PDR3,YAP3,0.39,0.0039,330,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0039
YBL005W,YHL027W,PDR3,RIM101,0.26,0.0026,625,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0026
YBL005W,YHR006W,PDR3,STP2,0.54,0.0054,541,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0054
YBL005W,YHR084W,PDR3,STE12,0.61,0.0061,688,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0061
YBL005W,YHR124W,PDR3,NDT80,0.64,0.0064,627,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0064
YBL005W,YHR177W,PDR3,ROF1,0.5,0.005,453,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.005
YBL005W,YHR178W,PDR3,STB5,0.36,0.0036,743,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0036
YBL005W,YHR206W,PDR3,SKN7,0.38,0.0038,622,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0038
YBL005W,YIL036W,PDR3,CST6,0.52,0.0052,587,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0052
YBL005W,YIL101C,PDR3,XBP1,0.63,0.0063,647,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0063
YBL005W,YIL131C,PDR3,FKH1,0.63,0.0063,484,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0063
YBL005W,YIR018W,PDR3,YAP5,0.25,0.0025,245,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0025
YBL005W,YIR023W,PDR3,DAL81,0.59,0.0059,970,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0059
YBL005W,YJL056C,PDR3,ZAP1,0.72,0.0072,880,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0072
YBL005W,YJL089W,PDR3,SIP4,0.74,0.0074,829,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0074
YBL005W,YJL103C,PDR3,GSM1,0.64,0.0064,618,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0064
YBL005W,YJL110C,PDR3,GZF3,0.54,0.0054,551,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0054
YBL005W,YJR060W,PDR3,CBF1,1.0,0.01,351,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.01
YBL005W,YJR094C,PDR3,IME1,0.84,0.0084,360,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0084
YBL005W,YKL015W,PDR3,PUT3,0.94,0.0094,976,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0094
YBL005W,YKL032C,PDR3,IXR1,0.75,0.0075,597,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0075
YBL005W,YKL038W,PDR3,RGT1,1.24,0.0124,976,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0124
YBL005W,YKL062W,PDR3,MSN4,1.21,0.0121,630,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0121
YBL005W,YKL109W,PDR3,HAP4,1.07,0.0107,554,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0107
YBL005W,YKL112W,PDR3,ABF1,0.9,0.009,731,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.009
YBL005W,YKL185W,PDR3,ASH1,0.65,0.0065,588,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0065
YBL005W,YKR034W,PDR3,DAL80,0.25,0.0025,269,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0025
YBL005W,YKR099W,PDR3,BAS1,0.63,0.0063,811,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0063
YBL005W,YLR014C,PDR3,PPR1,0.49,0.0049,904,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0049
YBL005W,YLR098C,PDR3,CHA4,0.69,0.0069,648,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0069
YBL005W,YLR131C,PDR3,ACE2,0.64,0.0064,770,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0064
YBL005W,YLR176C,PDR3,RFX1,0.63,0.0063,811,YBL005W_cluster,YBL005W_cluster,YBL005W_cluster,0.0063
